"index","names","aic"
"1","US1ORDG0028",54.8352764986945
"1","US1COLR0718",54.8944239212144
"1","US1ORLC0021",55.0094408898834
"1","US1MOGR0087",55.0786580056023
"1","US1ORMN0028",55.11727576379
"1","US1ORCB0039",55.1318945107363
"1","US1ARSL0012",55.2289261566727
"1","US1MAWR0048",55.4113168565982
"1","US1COLR0670",55.5251200825551
"1","US1TXHRR250",55.7737112797206
"1","US1COGR0026",55.9170726325561
"1","US1ORLA0082",56.0013270354193
"1","US1TNSR0027",56.3888070040475
"1","US1COLR0710",56.6712457288535
"1","US1IACR0006",56.6861122214236
"1","US1TNTR0003",56.6925269009599
"1","US1NCIR0024",56.7047432475032
"1","US1ARGL0008",56.7708058227956
"1","US1SDRB0005",56.863921366222
"1","US1COMR0031",56.9252586144434
"1","US1COGR0049",57.0941659110465
"1","US1WIRC0005",57.1067766007478
"1","US1KSRL0026",57.2737003571101
"1","US1SCRC0049",57.3113064595841
"1","US1COCR0017",57.5851723794411
"1","US1INMR0006",57.7611336063739
"1","US1TNSR0045",57.7953702534367
"1","US1CTFR0030",57.8984324370641
"1","US1NHCR0004",57.9627421592836
"1","US1IAWR0017",58.0084541255607
"1","US1NYER0026",58.0729720991065
"1","US1NYER0046",58.2199196621929
"1","US1TXBRN003",58.489579613474
"1","US1NHGR0050",58.5071787190959
"1","US1ORLA0009",58.526164784244
"1","US1NYER0066",58.5325813261345
"1","US1MIHR0009",58.5854720390248
"1","US1COMR0030",58.62496195681
"1","US1ARMS0005",58.6841195115863
"1","US1ORLA0010",58.7018540885504
"1","US1GABR0004",58.8507954733303
"1","US1KYWR0007",58.8760141738197
"1","US1COCR0005",58.8816180976864
"1","US1AZMR0452",58.9083677406312
"1","US1ARBT0048",59.270600374131
"1","US1ORCC0095",59.4152359047203
"1","US1MSRN0008",59.5979880822562
"1","US1INMR0123",59.6026220694132
"1","US1COAR0135",59.6197610450874
"1","US1OHWR0032",59.6248061764925
"1","US1NCCR0126",59.7372687410519
"1","US1TXHRR075",59.8281845793096
"1","US1NMBR0310",59.8671540549883
"1","US1KSRL0009",59.8954136082489
"1","US1ORLA0040",60.0044423412212
"1","US1WIRL0003",60.0378314218275
"1","US1COAR0255",60.0402320509813
"1","US1NDRC0007",60.2281099669831
"1","US1OHMR0001",60.3265726182583
"1","US1NYWR0011",60.3915510890862
"1","US1ARSB0001",60.5058665598353
"1","US1NCCR0030",60.6014864434357
