"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES"
"CA004042884","1983-11-06","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"   65",",,C","  -45",",,C",,,,
"CA004042884","1983-11-07","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0","T,,C","    0","T,,C",,,"   15",",,C","  -30",",,C",,,,
"CA004042884","1983-11-08","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0","T,,C","    0","T,,C",,,"   -5",",,C","  -50",",,C",,,,
"CA004042884","1983-11-09","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0","T,,C","    0","T,,C",,,"  -15",",,C","  -30",",,C",,,,
"CA004042884","1983-11-10","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0","T,,C","    0","T,,C",,,"  -30",",,C","  -55",",,C",,,,
"CA004042884","1983-11-11","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","   96",",,C","   96",",,C",,,"  -15",",,C","  -55",",,C",,,,
"CA004042884","1983-11-12","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"   -5",",,C","  -35",",,C",,,,
"CA004042884","1983-11-13","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"  -30",",,C","  -50",",,C",,,,
"CA004042884","1983-11-14","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0","T,,C","    0","T,,C",,,"  -20",",,C","  -50",",,C",,,,
"CA004042884","1983-11-15","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"  -15",",,C","  -65",",,C",,,,
"CA004042884","1983-11-16","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    6",",,C","    6",",,C",,,"    0",",,C","  -45",",,C",,,,
