"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00297191","1986-12-29","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","   67",",,0"," -117",",,0",,,,,"  -50",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-30","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","   72",",,0"," -133",",,0",,,,,"  -39",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-31","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","   83",",,0"," -144",",,0",,,,,"  -28",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-01","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0",",,0","  100",",,0","  200",",G,0",,,,,"  -33",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-02","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","   61",",,0"," -111",",,0",,,,,"  -44",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-03","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","  106",",,0"," -128",",,0",,,,,"   -6",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-04","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","  128",",,0","  -78",",,0",,,,,"   56",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-05","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","   20",",,0,1800","   38",",,0","   25",",,0","   67",",,0","  -33",",,0",,,,,"  -22",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-06","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0",",,0,1800","    0",",,0","    0","T,,0","   44",",,0","  -39",",,0",,,,,"  -11",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-07","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","T,,0,1800","    0","T,,0","    0","T,,0","   39",",,0","  -56",",,0",,,,,"   -6",",,0,1800",,,,,,,,,,,,
